DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
430;-999.25;-999.25;-999.25;-999.25;-999.25;-999.25
430.5;-999.25;-999.25;-999.25;-999.25;54.37409592;-999.25
431;-999.25;-999.25;-999.25;-999.25;55.20460129;-999.25
431.5;-999.25;-999.25;-999.25;-999.25;49.80976486;-999.25
432;-999.25;-999.25;-999.25;-999.25;52.05829239;-999.25
432.5;-999.25;-999.25;-999.25;-999.25;53.50215149;-999.25
433;-999.25;-999.25;-999.25;-999.25;53.7770462;-999.25
433.5;-999.25;-999.25;-999.25;-999.25;54.00907898;-999.25
434;-999.25;-999.25;-999.25;-999.25;55.6192627;-999.25
434.5;-999.25;-999.25;-999.25;-999.25;56.31712723;-999.25
435;-999.25;-999.25;-999.25;-999.25;55.68762589;-999.25
435.5;-999.25;-999.25;-999.25;-999.25;52.91815567;-999.25
436;-999.25;-999.25;-999.25;-999.25;55.55981445;-999.25
436.5;-999.25;-999.25;-999.25;-999.25;55.75022888;-999.25
437;-999.25;-999.25;-999.25;-999.25;55.41475678;-999.25
437.5;-999.25;-999.25;-999.25;-999.25;56.22792435;-999.25
438;-999.25;-999.25;-999.25;-999.25;55.58840942;-999.25
438.5;-999.25;-999.25;-999.25;-999.25;55.75378799;-999.25
439;-999.25;-999.25;-999.25;-999.25;55.77537155;-999.25
439.5;-999.25;-999.25;-999.25;-999.25;56.24201584;-999.25
440;-999.25;-999.25;-999.25;-999.25;57.67790985;-999.25
440.5;-999.25;-999.25;-999.25;-999.25;56.61341095;-999.25
441;-999.25;-999.25;-999.25;-999.25;56.14184189;-999.25
441.5;-999.25;-999.25;-999.25;-999.25;56.13349533;-999.25
442;-999.25;-999.25;-999.25;-999.25;57.02964783;-999.25
442.5;-999.25;-999.25;-999.25;-999.25;57.89621353;-999.25
443;-999.25;-999.25;-999.25;-999.25;55.46573257;-999.25
443.5;-999.25;-999.25;-999.25;-999.25;57.33274841;-999.25
444;-999.25;-999.25;-999.25;-999.25;52.97103882;-999.25
444.5;-999.25;-999.25;-999.25;-999.25;53.19610596;-999.25
445;-999.25;-999.25;-999.25;-999.25;54.61031723;-999.25
445.5;-999.25;-999.25;-999.25;-999.25;56.28862763;-999.25
446;-999.25;-999.25;-999.25;-999.25;53.88122177;-999.25
446.5;-999.25;-999.25;-999.25;-999.25;56.4274292;-999.25
447;-999.25;-999.25;-999.25;-999.25;54.01172257;-999.25
447.5;-999.25;-999.25;-999.25;-999.25;56.63209534;-999.25
448;-999.25;-999.25;-999.25;-999.25;54.81102371;-999.25
448.5;-999.25;2.169879913;7.013219833;-999.25;53.22528839;-999.25
449;-999.25;2.169879913;7.013219833;-999.25;53.84864807;-999.25
449.5;-999.25;2.169879913;7.013219833;-999.25;55.16198349;-999.25
450;-999.25;2.190402985;7.069650173;-999.25;55.40161896;-999.25
450.5;-999.25;2.14417696;7.081359863;-999.25;54.16780853;-999.25
451;-999.25;2.175666094;6.971006393;-999.25;54.98111343;-999.25
451.5;-999.25;2.165449858;6.966243267;-999.25;55.28475189;-999.25
452;-999.25;2.136733055;7.108647823;-999.25;55.64195633;-999.25
452.5;-999.25;2.110851765;7.460371971;2.026900053;54.29091263;-999.25
453;-999.25;2.187962055;7.730380058;2.026900053;57.8135376;-999.25
453.5;-999.25;2.40977931;7.982132912;2.026900053;57.17419815;-999.25
454;-999.25;2.236713886;7.799471855;2.026900053;56.90965271;-999.25
454.5;-999.25;2.188476086;7.542222977;2.026900053;55.89080048;-999.25
455;-999.25;2.203352451;7.565330029;2.026900053;56.19984818;-999.25
455.5;24.90144348;2.190042257;7.720843315;2.026900053;56.41838455;-999.25
456;27.48266792;2.188730955;7.746909142;2.026900053;55.53578949;-999.25
456.5;24.82025147;2.201086044;7.604825974;2.026900053;54.51062012;-999.25
457;16.99978828;2.173037052;7.339716435;2.026900053;53.49821854;-999.25
457.5;8.472472191;2.177081823;7.25246191;2.026900053;53.80907822;-999.25
458;10.7921648;2.180220842;7.368737698;2.026900053;55.85816193;-999.25
458.5;12.73879242;2.180021286;7.415755272;2.026900053;55.84887695;-999.25
459;16.12260056;2.1760602;7.537435055;2.026900053;56.41330338;-999.25
459.5;17.92386818;2.273412228;7.860959053;2.026900053;56.32314301;-999.25
460;18.76030541;2.52049613;8.247952461;2.026900053;56.77790451;-999.25
460.5;18.15214539;2.724030495;8.382180214;2.026900053;56.27123642;-999.25
461;19.88302803;2.748955727;8.483816147;2.026900053;56.1049881;-999.25
