DEPT;AT20;P_IMPEDANCE;S_IMPEDANCE;Vp/Vs;Zones;GRAN
1726.5;0.389320701;7786.545898;3739.975098;2.079999924;0;401
1726.75;0;7738.793457;3698.199707;2.037499905;0;401
1727;0;7691.041016;3656.424072;2.099999905;0;401
1727.25;0.308092475;7730.881836;3694.250488;2.097142696;0;401
1727.5;0.147696823;7770.723145;3732.076904;2.08375001;0;401
1727.75;0;7583.15332;3628.539551;2.051249981;0;401
1728;0;7395.583008;3525.001953;2.101428509;0;401
1728.25;0;7137.648926;3425.422852;2.085714102;0;401
1728.5;0;6879.714844;3325.843994;2.069999933;0;401
1728.75;0;6916.25;3324.302979;2.079999924;0;401
1729;0;6952.785156;3322.761963;2.094285727;0;401
1729.25;0;7047.44043;3374.333496;2.085714102;0;401
1729.5;0;7142.095215;3425.905029;2.079999924;0;401
1729.75;0;6913.224609;3332.231445;2.088749886;0;401
1730;0;6684.354004;3238.558106;2.059999943;0;401
1730.25;0;6769.37207;3300.416992;2.089999914;0;401
1730.5;0;6854.390137;3362.275879;2.039999962;0;401
1730.75;2.942450047;7832.697266;4091.909912;1.882500053;0;401
1731;1.911640525;8811.004883;4821.543945;1.825000048;0;401
1731.25;1.3422966;9164.469727;5039.018066;1.821428657;0;401
1731.5;2.017822027;9517.93457;5256.492188;1.807499886;0;401
1731.75;3.733541489;9568.749023;5413.973145;1.736250043;0;401
1732;6.526357651;9619.563477;5571.454102;1.730000019;0;401
1732.25;8.130475998;9356.492188;5453.077637;1.720000029;0;401
1732.5;9.478748322;9093.420898;5334.701172;1.707499981;0;401
1732.75;7.688058853;8671.678711;5071.283691;1.730000019;0;401
1733;6.419232369;8249.936523;4807.866211;1.717499971;0;401
1733.25;6.054924965;8058.813477;4641.439453;1.75;0;401
1733.5;5.914356709;7867.690918;4475.013184;1.753749967;0;401
1733.75;6.602775574;8120.013672;4608.275391;1.769999981;0;401
1734;7.31938076;8372.335938;4741.537109;1.769999981;0;401
1734.25;6.903056145;8471.996094;4798.235352;1.759999991;0;402
1734.5;6.845952988;8571.655273;4854.933106;1.769999981;0;403
1734.75;6.498469353;8593.792969;4850.72168;1.794999957;0;403
1735;6.315024853;8615.931641;4846.509766;1.779999971;0;404
1735.25;6.319574356;8538.765625;4807.799316;1.769999981;0;404
1735.5;6.311980724;8461.599609;4769.088867;1.776250005;0;404
1735.75;6.628605366;8580;4946.40918;1.743749976;0;404
1736;6.835244656;8698.400391;5123.729981;1.700000048;0;404
1736.25;7.445229054;8596.03418;5031.964844;1.700000048;0;404
1736.5;7.216499806;8493.667969;4940.199219;1.720000029;0;405
1736.75;6.44709301;8384.827148;4818.665527;1.759999991;0;405
1737;5.015414715;8275.986328;4697.131836;1.759999991;0;405
1737.25;4.345021248;8121.235352;4651.068848;1.715714335;0;405
1737.5;3.800364733;7966.484863;4605.005859;1.730000019;0;405
1737.75;3.280402422;7932.916992;4484.384766;1.77125001;0;405
1738;3.162402391;7899.349121;4363.763184;1.809999943;0;405
1738.25;4.068071842;8005.237305;4418.726563;1.820000053;0;405
1738.5;5.37070179;8111.125;4473.689941;1.809999943;0;406
1738.75;6.662981987;8537.162109;4756.075195;1.817499995;0;406
1739;8.224367142;8963.199219;5038.459961;1.774999976;0;406
1739.25;7.058395386;8856.230469;4956.250977;1.769999981;0;406
1739.5;5.67195797;8749.262695;4874.041992;1.796249986;0;406
1739.75;5.165782452;8345.609375;4689.366211;1.74000001;0;406
1740;4.843755245;7941.955078;4504.689941;1.759999991;0;406
1740.25;4.542946816;8043.775391;4505.236328;1.787499905;0;406
1740.5;4.180325985;8145.596191;4505.783203;1.807499886;0;406
1740.75;4.266790867;8361.254883;4691.248047;1.794999957;0;405
1741;4.456201553;8576.913086;4876.712891;1.762500048;0;405
1741.25;4.718476772;8503.901367;4843.900879;1.75;0;404
1741.5;4.977330208;8430.889648;4811.088867;1.75;0;403
1741.75;4.858822346;8294.18457;4698.876465;1.776250005;0;402
1742;4.638769627;8157.479004;4586.664063;1.779999971;0;401
1742.25;4.35051775;7929.544434;4465.075195;1.778571367;0;401
1742.5;3.920289278;7701.609863;4343.48584;1.774285674;0;401
1742.75;4.314889431;7618.444336;4263.20752;1.767499924;0;401
1743;2.851413488;7535.278809;4182.929199;1.799999952;0;401
1743.25;2.273793221;7521.248047;4047.205078;1.872857094;0;402
1743.5;0.122213461;7507.217773;3911.480957;1.918571353;0;402
1743.75;0;7147.450195;3604.25293;1.9375;0;403
1744;0;6787.682129;3297.024902;2.063750029;0;403
1744.25;0;6648.264648;3200.304932;2.1514287;0;403
1744.5;0;6508.847168;3103.584961;2.095714092;0;404
1744.75;0;6578.74707;3268.724121;2.039999962;0;404
1745;0;6648.646973;3433.863037;1.940000057;0;404
1745.25;0;7359.198242;3936.218262;1.877142906;0;404
1745.5;0;8069.75;4438.573242;1.814285755;0;405
1745.75;0.861692727;8483.78125;4774.170898;1.827499986;0;405
1746;1.659192085;8897.811523;5109.768066;1.745000005;0;405
1746.25;1.684556127;9262.853516;5368.431152;1.753749967;0;405
1746.5;5.789597035;9627.896484;5627.094238;1.710000038;0;406
1746.75;6.24778223;9298.507813;5404.408203;1.720000029;0;406
1747;5.880781174;8969.118164;5181.722168;1.730000019;0;406
1747.25;7.777789593;8784.525391;5088.428711;1.717499971;0;406
1747.5;8.594718933;8599.933594;4995.134766;1.720000029;0;406
1747.75;4.77962637;8315.702148;4772.772461;1.75;0;406
1748;4.038053513;8031.470215;4550.410156;1.766250014;0;406
1748.25;3.890249252;8163.794922;4611.036621;1.799999952;0;405
1748.5;3.878790855;8296.120117;4671.663086;1.771428585;0;404
1748.75;3.920433044;8339.244141;4656.40332;1.789999962;0;402
1749;3.539176464;8382.369141;4641.144043;1.809999943;0;401
1749.25;3.316998243;8180.001953;4537.795898;1.809999943;0;402
1749.5;3.245343924;7977.634766;4434.448242;1.797142863;0;402
1749.75;3.590615273;7855.90332;4346.651367;1.806249976;0;403
1750;2.832885742;7734.171875;4258.854004;1.820000053;0;403
1750.25;2.667999983;7763.973633;4283.205078;1.821428657;0;403
1750.5;2.818675518;7793.775879;4307.556152;1.811428547;0;403
1750.75;3.033697605;8063.505859;4530.75;1.754999995;0;403
1751;3.712438345;8333.235352;4753.943848;1.75;0;403
1751.25;3.919959307;8346.198242;4682.09668;1.792857051;0;403
1751.5;3.058811665;8359.161133;4610.25;1.809999943;0;404
1751.75;2.61243844;8118.69043;4486.491211;1.820000053;0;404
1752;2.210531712;7878.219238;4362.731934;1.808749914;0;404
1752.25;2.692889214;8177.265625;4520.845703;1.803749919;0;404
1752.5;3.482302189;8476.311523;4678.958984;1.811428547;0;404
1752.75;4.216678619;9074.505859;5098.28418;1.809999943;0;404
1753;4.940013409;9672.701172;5517.609863;1.757499933;0;404
1753.25;4.480505467;9463.466797;5447.492188;1.735000014;0;404
1753.5;5.16442728;9254.232422;5377.374023;1.720000029;0;404
1753.75;5.372772217;9062.131836;5207.048828;1.752500057;0;404
1754;5.326567173;8870.03125;5036.724121;1.763749957;0;404
1754.25;4.357026577;8941.804688;5061.572266;1.796249986;0;404
1754.5;3.315879107;9013.578125;5086.419922;1.772500038;0;404
1754.75;3.464225531;9040.267578;5140.544922;1.74000001;0;404
1755;3.572796106;9066.958008;5194.669922;1.75;0;404
1755.25;3.575779915;8583.985352;4873.323242;1.735000014;0;404
1755.5;3.763978005;8101.012207;4551.977051;1.779999971;0;405
1755.75;3.887206078;7981.713867;4447.001465;1.840000033;0;405
1756;3.660349369;7862.416016;4342.025879;1.807500005;0;405
1756.25;3.712220907;7915.989258;4415.570313;1.789999962;0;405
1756.5;4.283353806;7969.562988;4489.115234;1.771428585;0;406
1756.75;4.571239948;8241.728516;4619.770508;1.809999943;0;406
1757;4.78326416;8513.894531;4750.425781;1.792500019;0;406
1757.25;5.263666153;8638.492188;4802.671387;1.809999943;0;405
1757.5;4.906207085;8763.089844;4854.916992;1.807142854;0;404
1757.75;4.00798893;8578.006836;4733.818359;1.779999971;0;402
1758;3.308522701;8392.923828;4612.719238;1.817499995;0;401
1758.25;2.818800688;8206.432617;4769.111328;1.78285706;0;401
1758.5;4.203149796;8019.940918;4925.503906;1.628571391;0;401
1758.75;8.188091278;8168.578125;5462.742188;1.384285688;0;401
1759;22.81203079;8317.214844;5999.979981;1.389999986;0;401
1759.25;19.67874718;8490.382813;5465.118164;1.529999971;0;401
1759.5;4.389996052;8663.549805;4930.255859;1.755714297;0;401
1759.75;1.78066802;8478.811523;4678.720703;1.82571435;0;401
1760;2.988592625;8294.073242;4427.185059;1.871250033;0;401
1760.25;4.902525902;8431.458008;4527.290527;1.860000014;0;401
1760.5;3.48655057;8568.842773;4627.395996;1.852857113;0;401
1760.75;1.622475982;8558.640625;4698.751465;1.830000043;0;401
1761;1.141106486;8548.438477;4770.106934;1.792500019;0;401
1761.25;1.021483064;9083.09375;4985.936523;1.884999991;0;401
1761.5;1.785899997;9617.75;5201.766113;1.850000024;0;401
1761.75;3.339581251;9677.474609;5201.557617;1.867500067;0;401
1762;2.039491415;9737.199219;5201.349121;1.871250033;0;401
1762.25;0.849681139;9091.294922;4818.354004;1.826250076;0;401
1762.5;0.609065354;8445.391602;4435.358887;1.904999971;0;401
1762.75;0.606580615;8346.292969;4371.223633;1.889999986;0;401
1763;0.522232533;8247.195313;4307.088867;1.914999962;0;401
1763.25;0.493967265;8358.896484;4356.639648;1.840000033;0;402
1763.5;0.311643392;8470.597656;4406.190918;1.919999957;0;402
1763.75;0.321708262;8444.894531;4410.317383;1.950000048;0;403
1764;0.448268205;8419.192383;4414.443848;1.907500029;0;403
1764.25;0;8459.970703;4553.723633;1.882499933;0;403
1764.5;0;8500.75;4693.003906;1.811428547;0;404
1764.75;0.957106412;9721.375;5367.016602;1.94428575;0;404
1765;8.315015793;10942;6041.028809;1.805000067;0;404
1765.25;11.25862885;11029.32031;5928.98584;1.870000005;0;404
1765.5;6.53169775;11116.63965;5816.942871;1.909999967;0;405
1765.75;2.498322249;10242.59961;5460.374512;1.897142887;0;405
1766;0.853516936;9368.55957;5103.806152;1.831428647;0;405
1766.25;0.02398031;9266.755859;4968.374512;1.912499905;0;405
1766.5;0.119282827;9164.952148;4832.942871;1.895714283;0;406
1766.75;1.483756781;8894.212891;4659.292969;1.904285669;0;406
1767;0.697260737;8623.473633;4485.643066;1.919999957;0;406
1767.25;0;7838.71875;4034.293945;1.870000005;0;405
1767.5;0;7053.963867;3582.945068;1.970000029;0;404
1767.75;0;7133.861328;3561.455566;2.029999971;0;402
1768;0;7213.758789;3539.966065;2.033750057;0;401
1768.25;0;7391.424316;3639.230957;2.076249838;0;401
1768.5;0;7569.089844;3738.496094;2.027499914;0;401
1768.75;0;7217.958008;3635.671875;1.960000038;0;401
1769;0;6866.826172;3532.8479;1.947499991;0;401
1769.25;0;7297.353516;3717.436523;1.99000001;0;401
1769.5;0;7727.880859;3902.024902;1.980000019;0;401
1769.75;0;7729.243164;3890.02832;1.961250067;0;401
1770;0;7730.605957;3878.031982;1.99000001;0;401
1770.25;0.313287377;7838.945313;4005.909668;1.963750005;0;401
1770.5;0.876092076;7947.285156;4133.787109;1.918749929;0;401
1770.75;1.091719389;8698.341797;4397.360352;2.048571348;0;401
1771;0.863842368;9449.399414;4660.933106;2.029999971;0;401
1771.25;1.931859493;9110.543945;4872.451172;1.914999962;0;401
1771.5;7.363433361;8771.688477;5083.969238;1.720000029;0;402
1771.75;10.52575111;10611.91406;5444.146484;2.027143002;0;402
1772;8.99797821;12452.13965;5804.323242;2.131249905;0;402
1772.25;7.821311951;11734.48047;5836.77832;1.993749976;0;402
1772.5;5.598331451;11016.82031;5869.23291;1.875714302;0;402
1772.75;6.048315525;10442.34961;5599.976563;1.904285669;0;402
1773;6.850785255;9867.878906;5330.720215;1.851428628;0;402
1773.25;6.435935974;9761.617188;5376.155273;1.769999981;0;402
1773.5;5.625422478;9655.356445;5421.59082;1.777499914;0;403
1773.75;6.209285736;9287.71875;5282.617188;1.734285712;0;403
1774;5.823751926;8920.082031;5143.644043;1.731428623;0;403
1774.25;5.767783642;9062.283203;5248.876465;1.698750019;0;403
1774.5;7.42138958;9204.483398;5354.108887;1.721250057;0;404
1774.75;10.04662609;10122.94141;5795.104492;1.751428604;0;404
1775;15.08855152;11041.40039;6236.100098;1.769999981;0;404
1775.25;37.43903732;12180.71484;6880.268555;1.799999952;0;404
1775.5;34.42246246;13320.03027;7524.437012;1.769999981;0;405
1775.75;19.18912888;12374.39063;7086.327148;1.705714345;0;405
1776;6.242932797;11428.75;6648.217773;1.716250062;0;405
1776.25;1.411498308;10413.77148;5780.135742;1.786249995;0;404
1776.5;1.24776268;9398.792969;4912.053223;1.916249991;0;403
1776.75;1.049875855;9079.8125;4615.876953;1.963750005;0;402
1777;0;8760.832031;4319.701172;2.027499914;0;401
1777.25;0;8223.615234;3987.674072;2;0;401
1777.5;0;7686.397949;3655.646973;2.107499838;0;401
1777.75;0.590938807;7233.831543;3394.839844;2.140000105;0;401
1778;0.307118505;6781.265137;3134.032959;2.166249991;0;401
1778.25;0;6871.902344;3203.994629;2.073750019;0;401
1778.5;0;6962.539063;3273.956055;2.126250029;0;401
1778.75;0;7326.743652;3433.430664;2.131428719;0;401
1779;0.536272466;7690.948242;3592.905029;2.140000105;0;401
1779.25;0.848858297;7349.875977;3461.852539;2.132500172;0;401
1779.5;0.754731178;7008.803223;3330.800049;2.099999905;0;401
1779.75;0.722833693;7105.292969;3349.367188;2.130000114;0;401
1780;0.850015521;7201.782227;3367.934082;2.140000105;0;401
1780.25;0.761545658;7225.480469;3494.900879;2.101249933;0;401
1780.5;0.464083135;7249.178223;3621.86792;2.002500057;0;401
1780.75;0.088410661;7548.266113;3657.652832;2.082857132;0;401
1781;0.002318962;7847.354004;3693.437988;2.127142906;0;401
1781.25;0.555762827;7850.925781;3867.804443;2.279999971;0;401
1781.5;0.242083341;7854.498047;4042.170898;1.942499995;0;401
1781.75;0;7282.789063;3791.382324;1.841428638;0;401
1782;0;6711.080078;3540.593994;1.898571372;0;401
1782.25;0;6711.125;3470.495606;1.929999948;0;401
1782.5;0;6711.169922;3400.396973;1.973749995;0;401
1782.75;0;7192.491211;3662.525879;1.944999933;0;401
1783;0;7673.812012;3924.655029;1.950000048;0;401
1783.25;0;8136.886719;4187.466309;1.899999976;0;401
1783.5;0;8599.961914;4450.277832;1.930000067;0;401
1783.75;0;8754.064453;4472.474609;1.914999962;0;401
1784;0.085707143;8908.166992;4494.670898;1.981250048;0;401
1784.25;0;8722.421875;4427.09082;1.986250043;0;401
1784.5;0;8536.675781;4359.511231;1.95875001;0;401
1784.75;0;8278.671875;4244.469727;1.998749971;0;401
1785;0;8020.668945;4129.428223;1.9375;0;401
1785.25;0;8108.994629;4169.345215;1.934999943;0;401
1785.5;0;8197.320313;4209.262207;1.945000053;0;401
1785.75;0.955588698;8707.855469;4616.536133;1.889999986;0;401
1786;2.771321058;9218.391602;5023.810059;1.837142944;0;401
1786.25;5.478813648;8915.945313;4901.875488;1.777499914;0;401
1786.5;3.174641371;8613.498047;4779.940918;1.799999952;0;402
1786.75;2.523252964;8389.084961;4679.503906;1.779999971;0;402
1787;4.642297268;8164.671875;4579.066895;1.779999971;0;402
1787.25;5.558615685;8486.261719;4746.958984;1.779999971;0;402
1787.5;6.605073929;8807.852539;4914.851074;1.789999962;0;403
1787.75;5.188513279;9256.886719;5139.853027;1.802857041;0;403
1788;4.989642143;9705.919922;5364.854981;1.809999943;0;403
1788.25;4.666353226;10081.00977;5343.748047;1.827142835;0;403
1788.5;2.771083117;10456.09961;5322.641113;1.963750005;0;403
1788.75;1.919621825;9651.544922;4699.476074;2.014999867;0;403
1789;0.239291817;8846.989258;4076.311035;2.172857285;0;403
1789.25;0;7885.554688;3745.282959;1.99000001;0;403
1789.5;0.012787256;6924.120117;3414.254883;2.029999971;0;404
1789.75;0.28880322;7193.666992;3530.040039;2;0;404
1790;0.344190419;7463.213867;3645.824951;2.048571348;0;404
1790.25;0.095404066;7453.212891;3632.682617;2.041249991;0;403
1790.5;0;7443.211914;3619.540039;2.056249857;0;403
1790.75;0;7367.326172;3517.180176;2.108749867;0;402
1791;0;7291.440918;3414.820068;2.130000114;0;401
1791.25;0.003600434;7244.084961;3426.679199;2.137500048;0;401
1791.5;0.713652074;7196.729004;3438.538086;2.09499979;0;401
1791.75;0.205301106;7290.367188;3432.805664;2.127500057;0;401
1792;0;7384.004883;3427.072998;2.160000086;0;401
1792.25;0;7159.067871;3303.041504;2.148750067;0;401
1792.5;0;6934.130859;3179.01001;2.181250095;0;401
1792.75;0.744442701;6829.29834;3205.547363;2.130000114;0;401
1793;1.877414823;6724.46582;3232.084961;2.079999924;0;401
1793.25;1.710460544;7037.939453;3358.821533;2.119999886;0;401
1793.5;1.032208681;7351.413086;3485.558106;2.109999895;0;401
1793.75;0.563987672;7459.636719;3480.435547;2.170000076;0;401
1794;0.487485349;7567.859863;3475.312988;2.180000067;0;401
1794.25;1.000597954;7427.733398;3543.104004;2.082857132;0;401
1794.5;1.234411955;7287.606934;3610.89502;2.02125001;0;401
1794.75;0.794382572;7510.050781;3687.244141;2.011428595;0;401
1795;0.906529307;7732.494141;3763.593018;2.054285765;0;401
1795.25;2.107093334;7464.245606;3568.133057;2.104285717;0;401
1795.5;2.215677738;7195.99707;3372.673096;2.130000114;0;401
1795.75;2.385231733;6841.811523;3209.646973;2.125;0;401
1796;2.886028051;6487.625977;3046.621094;2.13142848;0;401
1796.25;3.068801403;6778.445313;3186.233887;2.115714073;0;401
1796.5;1.438858748;7069.265137;3325.846924;2.122499943;0;401
1796.75;0.105661184;7006.34082;3297.744141;2.1875;0;401
1797;0;6943.416992;3269.641113;2.122857094;0;401
1797.25;0.214429095;6918.411133;3193.993652;2.150000095;0;401
1797.5;0.249797344;6893.404785;3118.345947;2.212500095;0;401
1797.75;0;6650.960449;3019.287598;2.210000038;0;401
1798;0;6408.516113;2920.229004;2.192500114;0;401
1798.25;0;6504.130859;3067.898926;2.130000114;0;401
1798.5;0.038681507;6599.745117;3215.569092;2.051249981;0;402
1798.75;0.867107868;7183.357422;3587.616699;1.960000038;0;402
1799;1.57470274;7766.970215;3959.664063;1.957499981;0;402
1799.25;1.138583303;7817.029297;3915.413574;2.019999981;0;402
1799.5;0.36416778;7867.088867;3871.163086;2.034999847;0;403
1799.75;0;7556.451172;3653.411621;2.005000114;0;403
1800;0;7245.813965;3435.659912;2.109999895;0;403
1800.25;0;6999.126953;3288.114014;2.151250124;0;403
1800.5;0;6752.439941;3140.568115;2.14625001;0;403
1800.75;0;6523.736328;3032.184082;2.160000086;0;403
1801;0;6295.032227;2923.800049;2.1514287;0;403
1801.25;0.018675428;6528.955566;3063.305176;2.167142868;0;403
1801.5;0.164147705;6762.878906;3202.810059;2.112499952;0;402
1801.75;0.420782447;6820.476074;3278.315918;2.089999914;0;402
1802;0.46448347;6878.073242;3353.822022;2.047142744;0;401
1802.25;0.041864712;6832.257813;3321.489502;2.077142716;0;401
1802.5;0.017713526;6786.442871;3289.156982;2.061249971;0;401
1802.75;0.05468031;6834.276367;3290.95166;2.023750067;0;401
1803;0;6882.109863;3292.746094;2.089999914;0;401
1803.25;0;6729.015625;3195.743652;2.077142716;0;401
1803.5;0;6575.920898;3098.740967;2.119999886;0;401
1803.75;0.260113657;7104.544434;3388.072022;2.130000114;0;401
1804;0.226192877;7633.167969;3677.403076;2.074999809;0;401
1804.25;0;7476.099609;3610.450684;2.08857131;0;401
1804.5;0;7319.030762;3543.498047;2.069999933;0;401
1804.75;0.126788318;7449.177734;3556.837891;2.063750029;0;401
1805;0.32904464;7579.324219;3570.177979;2.122499943;0;401
1805.25;0.47299692;7219.092773;3389.139648;2.109999895;0;401
1805.5;0.146871269;6858.861816;3208.101074;2.135000229;0;401
1805.75;0;6831.613281;3181.734375;2.200000048;0;401
1806;0.026758542;6804.365234;3155.36792;2.15500021;0;401
1806.25;0.06245454;6996.244629;3221.003906;2.158750057;0;401
1806.5;0.009729861;7188.124023;3286.639893;2.191250086;0;401
1806.75;0;6637.575195;2998.824951;2.173750162;0;401
1807;0;6087.026856;2711.01001;2.244999886;0;401
1807.25;0;6089.430664;2839.354004;2.192857266;0;401
1807.5;0.277947068;6091.833984;2967.697998;2.054999828;0;401
1807.75;0.958548725;6509.444336;3200.55957;2.017499924;0;401
1808;0.303212225;6927.055176;3433.420898;2.019999981;0;401
1808.25;0;6722.183106;3323.993408;2.022857189;0;401
1808.5;0;6517.311035;3214.565918;2.023750067;0;401
1808.75;0.019051492;6406.625;3241.123535;1.972500086;0;401
1809;0.412032068;6295.938965;3267.680908;1.928571343;0;401
1809.25;0.86830169;6497.407227;3431.666504;1.871428609;0;401
1809.5;1.063955307;6698.875;3595.6521;1.865714312;0;402
1809.75;2.120954514;6764.976074;3650.387695;1.840000033;0;402
1810;1.768564582;6831.077148;3705.123047;1.842857122;0;402
1810.25;0.492479742;6745.25;3577.401856;1.892857075;0;402
1810.5;0.107219279;6659.422852;3449.680908;1.929999948;0;402
1810.75;0;6639.538086;3387.871582;2.017499924;0;402
1811;0.007453466;6619.652832;3326.062012;1.99000001;0;402
1811.25;0.363785714;7148.959473;3682.901856;1.962857127;0;402
1811.5;0.581927717;7678.266113;4039.741943;1.899999976;0;403
1811.75;0.554381788;7745.529297;4001.552002;1.92750001;0;403
1812;0.332218826;7812.792969;3963.362061;1.975000024;0;403
1812.25;0.085740782;7320.725098;3608.68457;2.052857161;0;403
1812.5;0;6828.657227;3254.00708;2.102499962;0;403
1812.75;0;6666.724121;3166.963379;2.122499943;0;403
1813;0;6504.791016;3079.919922;2.109999895;0;403
1813.25;0;6880.272949;3320.138916;2.119999886;0;403
