DEPTH,GR,SP,RES,zonas,VSH_Linear,VSH_Clavier,VSH_Resistividad,VSH_Promedio
2000.0,86.6,-1.27,2.02,Zona 4,0.6630280306008284,0.4662437081025981,0.8690910366925114,0.6661209251319793
2001.0,94.24,0.0,1.15,Zona 4,1.0,0.9999999999999998,1.0,1.0
2002.0,92.43,-1.19,1.18,Zona 4,1.0,0.9999999999999998,1.0,1.0
2003.0,101.24,0.0,0.83,Zona 4,1.0,0.9999999999999998,1.0,1.0
2004.0,85.18,-1.33,1.89,Zona 4,0.577152187717336,0.37754686683844163,0.9082244206770563,0.620974491744278
2005.0,76.5,-5.19,4.63,Zona 4,0.05222097910556088,0.022453100925797775,0.3811292425236026,0.15193444085165375
2006.0,77.81,-12.31,4.33,Zona 4,0.13144446796286804,0.060274383717219715,0.4205383244545483,0.204085725378212
2007.0,87.82,-2.13,1.75,Zona 4,0.7368086843458012,0.5530122910037403,0.9534997526281948,0.7477735759925787
2008.0,92.17,-0.09,1.34,Zona 4,0.999879048108615,0.9997063317426403,1.0,0.9998617932837518
2009.0,80.73,2.02,1.76,Zona 4,0.30803422938526237,0.16251276675620452,0.950147669631117,0.47356488859086127
2010.0,92.21,-0.44,1.71,Zona 4,1.0,0.9999999999999998,0.9671024158560771,0.9890341386186923
2011.0,79.42,-4.51,3.96,Zona 4,0.22881074052795525,0.11339651825671582,0.47308636450322583,0.27176454109596565
2012.0,80.36,-13.84,9.04,Zona 4,0.2856581294789998,0.1480727942999518,0.0,0.14457697459298388
2013.0,89.49,0.0,1.88,Zona 4,0.8378035136524447,0.6924483371071259,0.9113453244118778,0.8138657250571494
2014.0,90.97,-0.33,1.31,Zona 4,0.927307913277494,0.8445066012034643,1.0,0.9239381714936528
2015.0,91.43,0.08,1.56,Zona 4,0.9551268482960908,0.8996531276693528,1.0,0.9515933253218146
2016.0,96.68,0.23,1.11,Zona 4,1.0,0.9999999999999998,1.0,1.0
2017.0,85.0,-1.13,2.73,Zona 4,0.5662665174926674,0.36711999539456186,0.6918959869519371,0.5417608332797221
2018.0,90.02,-2.01,2.07,Zona 4,0.8698557648695231,0.7431547264547288,0.8547067265860379,0.8225724059700966
2019.0,85.49,-1.99,2.59,Zona 4,0.5958997308820415,0.3959126227511238,0.7228657149274706,0.5715593561868787
2020.0,86.4,-2.31,2.93,Zona 4,0.6509328414623089,0.4530114443754618,0.6503034777003744,0.584749254512715
2021.0,85.33,-2.62,3.18,Zona 4,0.5862235795712256,0.3863680487461554,0.602135097866221,0.5249089087278673
2022.0,96.26,0.0,1.13,Zona 4,1.0,0.9999999999999998,1.0,1.0
2023.0,90.58,-1.48,1.89,Zona 4,0.9037222944573796,0.8010701905819577,0.9082244206770563,0.8710056352387979
2024.0,96.46,-0.39,1.37,Zona 4,1.0,0.9999999999999998,1.0,1.0
2025.0,90.16,-0.88,1.79,Zona 4,0.8783223972664872,0.7571859089475971,0.9402045206902176,0.8585709423014339
2026.0,91.13,-0.56,2.09,Zona 4,0.9369840645883099,0.8631707627694069,0.8490500582503061,0.8830682952026742
2027.0,84.38,0.13,2.05,Zona 4,0.5287714311632546,0.3324764097255919,0.8604183148904703,0.5738887185931056
2028.0,89.38,0.2,1.91,Zona 4,0.8311511596262585,0.6823673912579431,0.9020318479778688,0.8051834662873568
2029.0,83.32,-2.56,2.57,Zona 4,0.46466692872909776,0.27748429002533315,0.7274261174104909,0.48985911205497396
2030.0,88.48,-23.09,10.82,Zona 4,0.7767228085029184,0.60487911770104,0.0,0.4605339754013194
2031.0,85.61,-1.1,2.66,Zona 4,0.6031568443651539,0.4031645289458441,0.7071770792050905,0.5711661508386962
2032.0,80.31,-0.43,1.83,Zona 4,0.28263433219436995,0.14615645279425737,0.9272031302214917,0.45199797173670636
